,name,preprocessed_descriptions
25405,spicy hot dogs,hot dogs with a little zip
25406,spicy indian potato cakes,mashed potatos spiced with chillies turmeric and cilantro and then friedwonderful way to serve potato with a bbq goes soooo well with ribs and chicken there wont be any left over i bet
25407,spicy italian sausage pie,snack brunch breakfast dinner potluck or party fare  this one covers it all
25408,spicy lamb chops with tomato cucumber raita,these lamb chops provide a powerpunch of flavor that is toned down by the coolness of the tomatocucumber raita its spicy and refreshing all at the same time feel free to cut down on the curry power and cayenne to suit your own preference or for a milder version you can have these chops on the table in just over 30 minutes
25409,spicy lamb meatballs,succulent spicy lamb meatballs are mixed in a delicious tomato sauce and topped with creamy goat cheese and parsley recipe courtesy chuck hughes
25410,spicy lamb pot pie,this is a healthy but hearty recipe adapted from thefoodcoachcomau serve with some steamed greens
25411,spicy lemon shrimp with basil mayonnaise,a recipe from betty crocker  this lovely restaurantstyle appetizer can be made ahead of time  the shrimp can marinate in the lemon mixture up to 3 hours in the refrigerator before broiling  make the basil mayonnaise up to a day ahead and store covered in the refrigerator
25412,spicy lentil and kale soup,my version of this tasty satisfying soup adapted from a rachael ray recipe
25413,spicy lentil and vegetable dish,so easy so healthy so cheap this is not a curry its a spicy nutritious onepot dish can  actually should  be made the day before as flavours definitely improve on standing this was clear when i tucked into the leftovers its not a glamorous dish its rustic and robust its quicker still to throw together if you first mix the spices together in a bowl and also prepare the vegetables before you start do not use substitutions except those suggested and do use fresh spices old spices are useless
25414,spicy lentils,cooking time for lentils can vary from 15 minutes to as long as 1 hour depending on the type and age of the lentils red lentils which turn yellow when cooked cook very quickly because they are split and after 15 to 20 minutes they soften to a puree brown lentils hold their shape better but can take longer to cook serve this soupy stewlike dish in a shallow bowl over brown rice i got this from prevention magazine
25415,spicy lentils with chorizo,from cooking light serving size 1 cup lentil mixture and 1 tablespoon cheese per serving 306 calories 83 g fat 201 g protein396 g carb 128 g fiber 15 mg cholesterol
25416,spicy lentils with cornbread,when people hear lentils the general reaction is eeww lentils but they dont have to be all they need are some simple spices and you can turn lentils into a healthy little spicy  delicious and nutritious meal lentils are very good for you they are one of the highest sources of protein this is my own personal favorite lentil recipe
25417,spicy lettuce wraps hcg phase 2,i came home late one evening and realized i hadnt defrosted any meat  i came up with these fast and delicious wraps that even my husband and kids loved
25418,spicy lime prawns served with tomato avocado salsa,the spicy tangy prawns are lovely served by themselves with some grilled lime wedges but i love the flavours of the salsa along with it so either way its delicious cooking time indicated includes marinating time
25419,spicy macaroni and cheese,from foodnetworkcom  this is the easiest way to make homemade mac and cheese that ive ever come acrossin fact ive been altering all other mac and cheese recipes to reflect the method of prep in this recipe  i make this when ive got 15 minutes to throw together a meal not including cooking time  it doesnt hurt that this is a really tasty macaroni recipe can be served as a side dish but were veggies so we usually eat it as the main dish hope you enjoy
25420,spicy maple roasted potato wedges,this recipe is easy to assemble and warming to the taste buds  the potatoes turn out crispy on the outside and tender on the inside with just the right balance of sweet and spicy  i think this recipe has just the right amount of heat but you can adjust the chili powder and cayenne pepper to your taste  i like to serve this with my spicy maplesauced pork chops
25421,spicy margarita shrimp salad,triple sec tequila chiliesshrimp  cumin  this salad is truly a margarita centerpiece it comes from my best of arizona recipes the southwest savor
25422,spicy marinara,this mildly spiced marinara is what i made in the fall after the summer tomatoes were gone but i still had plenty of basil garlic and chili peppers to play with i made it to go with a hearty wholewheat pasta id been given as a gift and its rich thickness really went well with the sturdy noodles
